s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 1.2180660E+000, 2.5531671E+002,-9.1848653E+001, 2.5278021E+000,-2.3712048E+000,-1.5132518E-002, 0.0000000E+000, 0.0000000E+000, 1.6217684E+002, 1.6360953E+002, 9.8073162E-001, 6.9758002E-003, 5.3676343E-103
 1.2238441E+000, 2.5701672E+002,-9.2668168E+001, 2.5409158E+000,-2.3774979E+000,-1.5153291E-002, 0.0000000E+000, 0.0000000E+000, 1.6370008E+002, 1.6449681E+002, 9.8274409E-001, 6.9899475E-003, 6.6407747E-103
 1.2296221E+000, 2.5608869E+002,-9.2046860E+001, 2.5389081E+000,-2.3800309E+000,-1.5191088E-002, 0.0000000E+000, 0.0000000E+000, 1.6461617E+002, 1.6418552E+002, 9.8473715E-001, 7.0039580E-003, 8.2072768E-103
 1.2354002E+000, 2.6141465E+002,-9.5238593E+001, 2.5693512E+000,-2.3828261E+000,-1.5217631E-002, 0.0000000E+000, 0.0000000E+000, 1.6443508E+002, 1.6634737E+002, 9.8671094E-001, 7.0178327E-003, 1.0134016E-102
 1.2405556E+000, 2.6195265E+002,-9.3998692E+001, 2.5909978E+000,-2.3863705E+000,-1.5236896E-002, 0.0000000E+000, 0.0000000E+000, 1.6658690E+002, 1.6814335E+002, 9.8866560E-001, 7.0300984E-003, 1.2251131E-102
 1.2457110E+000, 2.6444146E+002,-9.7013440E+001, 2.5843939E+000,-2.3890200E+000,-1.5260298E-002, 0.0000000E+000, 0.0000000E+000, 1.6829058E+002, 1.6760813E+002, 9.9039357E-001, 7.0422576E-003, 1.4756762E-102
 1.2508663E+000, 2.6450719E+002,-9.5621493E+001, 2.6034314E+000,-2.3915004E+000,-1.5284771E-002, 0.0000000E+000, 0.0000000E+000, 1.6766608E+002, 1.6908234E+002, 9.9210655E-001, 7.0543110E-003, 1.7754456E-102
 1.2560217E+000, 2.6641015E+002,-9.7084740E+001, 2.6078927E+000,-2.3940909E+000,-1.5312158E-002, 0.0000000E+000, 0.0000000E+000, 1.6908651E+002, 1.6952390E+002, 9.9380462E-001, 7.0662595E-003, 2.1338702E-102
 1.2611771E+000, 2.7015926E+002,-9.8689821E+001, 2.6359266E+000,-2.3981364E+000,-1.5327328E-002, 0.0000000E+000, 0.0000000E+000, 1.6948078E+002, 1.7169190E+002, 9.9548791E-001, 7.0781036E-003, 2.5624788E-102
 1.2663324E+000, 2.6810579E+002,-9.7811989E+001, 2.6236071E+000,-2.4019480E+000,-1.5352873E-002, 0.0000000E+000, 0.0000000E+000, 1.7162677E+002, 1.7050011E+002, 9.9715651E-001, 7.0898443E-003, 3.0725146E-102
 1.2714878E+000, 2.7062492E+002,-9.8593992E+001, 2.6472013E+000,-2.4017345E+000,-1.5383398E-002, 0.0000000E+000, 0.0000000E+000, 1.7041859E+002, 1.7226101E+002, 9.9881053E-001, 7.1014822E-003, 3.6814403E-102
 1.2766432E+000, 2.7375035E+002,-1.0018012E+002, 2.6685364E+000,-2.4031385E+000,-1.5408929E-002, 0.0000000E+000, 0.0000000E+000, 1.7213185E+002, 1.7382022E+002, 1.0004501E+000, 7.1130181E-003, 4.4049435E-102
 1.2817985E+000, 2.7233514E+002,-9.8870811E+001, 2.6732797E+000,-2.4095080E+000,-1.5426466E-002, 0.0000000E+000, 0.0000000E+000, 1.7368709E+002, 1.7371267E+002, 1.0020752E+000, 7.1244526E-003, 5.2633416E-102
 1.2869539E+000, 2.7555845E+002,-1.0069745E+002, 2.6894055E+000,-2.4092121E+000,-1.5461746E-002, 0.0000000E+000, 0.0000000E+000, 1.7360118E+002, 1.7512573E+002, 1.0036861E+000, 7.1357865E-003, 6.2854731E-102
 1.2921093E+000, 2.7595804E+002,-1.0012903E+002, 2.7007600E+000,-2.4124078E+000,-1.5479612E-002, 0.0000000E+000, 0.0000000E+000, 1.7496718E+002, 1.7610188E+002, 1.0052828E+000, 7.1470206E-003, 7.4958560E-102
 1.2972646E+000, 2.7673726E+002,-1.0019034E+002, 2.7126323E+000,-2.4157088E+000,-1.5502946E-002, 0.0000000E+000, 0.0000000E+000, 1.7591924E+002, 1.7682834E+002, 1.0068655E+000, 7.1581555E-003, 8.9289488E-102
 1.3024200E+000, 2.7844694E+002,-1.0158997E+002, 2.7186049E+000,-2.4164843E+000,-1.5531830E-002, 0.0000000E+000, 0.0000000E+000, 1.7667249E+002, 1.7714356E+002, 1.0084341E+000, 7.1691921E-003, 1.0625535E-101
 1.3075753E+000, 2.7822390E+002,-1.0109828E+002, 2.7225787E+000,-2.4190867E+000,-1.5554824E-002, 0.0000000E+000, 0.0000000E+000, 1.7698122E+002, 1.7741355E+002, 1.0099890E+000, 7.1801309E-003, 1.2632599E-101
 1.3127307E+000, 2.8071766E+002,-1.0203088E+002, 2.7434064E+000,-2.4206040E+000,-1.5579565E-002, 0.0000000E+000, 0.0000000E+000, 1.7723371E+002, 1.7899400E+002, 1.0115300E+000, 7.1909727E-003, 1.5000650E-101
 1.3184016E+000, 2.7852885E+002,-1.0195861E+002, 2.7127032E+000,-2.4249779E+000,-1.5602044E-002, 0.0000000E+000, 0.0000000E+000, 1.7880948E+002, 1.7684236E+002, 1.0130574E+000, 7.2027876E-003, 1.8055446E-101
 1.3240725E+000, 2.8094145E+002,-1.0320634E+002, 2.7254233E+000,-2.4258190E+000,-1.5628619E-002, 0.0000000E+000, 0.0000000E+000, 1.7670365E+002, 1.7801909E+002, 1.0147219E+000, 7.2144870E-003, 2.1766868E-101
 1.3297434E+000, 2.7844908E+002,-1.0126883E+002, 2.7161303E+000,-2.4261706E+000,-1.5658249E-002, 0.0000000E+000, 0.0000000E+000, 1.7788417E+002, 1.7745455E+002, 1.0163701E+000, 7.2260717E-003, 2.6190529E-101
 1.3354143E+000, 2.8066886E+002,-1.0231945E+002, 2.7277003E+000,-2.4274833E+000,-1.5685911E-002, 0.0000000E+000, 0.0000000E+000, 1.7733128E+002, 1.7863394E+002, 1.0180021E+000, 7.2375429E-003, 3.1488190E-101
 1.3410852E+000, 2.8062659E+002,-1.0253690E+002, 2.7229608E+000,-2.4327155E+000,-1.5706576E-002, 0.0000000E+000, 0.0000000E+000, 1.7854003E+002, 1.7836423E+002, 1.0196182E+000, 7.2489013E-003, 3.7783869E-101
 1.3467561E+000, 2.7939063E+002,-1.0112898E+002, 2.7254600E+000,-2.4364311E+000,-1.5734829E-002, 0.0000000E+000, 0.0000000E+000, 1.7824579E+002, 1.7853494E+002, 1.0212183E+000, 7.2601479E-003, 4.5281325E-101
 1.3524270E+000, 2.8197265E+002,-1.0318475E+002, 2.7318402E+000,-2.4384948E+000,-1.5764727E-002, 0.0000000E+000, 0.0000000E+000, 1.7837400E+002, 1.7906548E+002, 1.0228027E+000, 7.2712837E-003, 5.4179184E-101
 1.3580979E+000, 2.8177454E+002,-1.0238558E+002, 2.7382455E+000,-2.4441334E+000,-1.5785585E-002, 0.0000000E+000, 0.0000000E+000, 1.7891961E+002, 1.7966728E+002, 1.0243715E+000, 7.2823096E-003, 6.4727610E-101
 1.3637688E+000, 2.8026224E+002,-1.0157328E+002, 2.7293157E+000,-2.4490422E+000,-1.5810955E-002, 0.0000000E+000, 0.0000000E+000, 1.7955339E+002, 1.7895342E+002, 1.0259249E+000, 7.2932265E-003, 7.7928414E-101
 1.3688376E+000, 2.8371762E+002,-1.0147998E+002, 2.7708900E+000,-2.4492460E+000,-1.5840588E-002, 0.0000000E+000, 0.0000000E+000, 1.7883409E+002, 1.8254344E+002, 1.0274628E+000, 7.3028929E-003, 9.1747217E-101
 1.3739065E+000, 2.8463177E+002,-1.0360873E+002, 2.7540924E+000,-2.4560276E+000,-1.5856658E-002, 0.0000000E+000, 0.0000000E+000, 1.8241457E+002, 1.8130525E+002, 1.0288246E+000, 7.3124735E-003, 1.0817995E-100
 1.3845510E+000, 2.8424243E+002,-1.0356296E+002, 2.7470521E+000,-2.4616795E+000,-1.5889489E-002, 0.0000000E+000, 0.0000000E+000, 1.8146790E+002, 1.8094895E+002, 1.0308750E+000, 7.3273894E-003, 1.4015472E-100
 1.3901267E+000, 2.8304760E+002,-1.0195232E+002, 2.7459888E+000,-2.4652391E+000,-1.5920911E-002, 0.0000000E+000, 0.0000000E+000, 1.7987046E+002, 1.8136011E+002, 1.0329698E+000, 7.3425633E-003, 1.8087590E-100
 1.4012781E+000, 2.8388413E+002,-1.0261220E+002, 2.7468403E+000,-2.4695362E+000,-1.5955500E-002, 0.0000000E+000, 0.0000000E+000, 1.8096808E+002, 1.8153328E+002, 1.0351280E+000, 7.3577325E-003, 2.3497176E-100
 1.4124296E+000, 2.8487105E+002,-1.0287708E+002, 2.7536010E+000,-2.4750804E+000,-1.5994238E-002, 0.0000000E+000, 0.0000000E+000, 1.8172675E+002, 1.8225650E+002, 1.0379587E+000, 7.3776284E-003, 3.2911853E-100
 1.4235810E+000, 2.8812484E+002,-1.0421667E+002, 2.7732330E+000,-2.4791970E+000,-1.6034434E-002, 0.0000000E+000, 0.0000000E+000, 1.8297489E+002, 1.8418616E+002, 1.0407341E+000, 7.3971344E-003, 4.5784445E-100
 1.4347324E+000, 2.8816928E+002,-1.0411821E+002, 2.7734611E+000,-2.4832339E+000,-1.6070524E-002, 0.0000000E+000, 0.0000000E+000, 1.8415291E+002, 1.8432524E+002, 1.0434549E+000, 7.4162571E-003, 6.3395092E-100
 1.4403082E+000, 2.8937157E+002,-1.0368469E+002, 2.7879382E+000,-2.4837306E+000,-1.6100770E-002, 0.0000000E+000, 0.0000000E+000, 1.8483416E+002, 1.8597498E+002, 1.0454621E+000, 7.4303631E-003, 8.0421701E-100
 1.4514596E+000, 2.9063639E+002,-1.0504249E+002, 2.7837574E+000,-2.4912219E+000,-1.6121674E-002, 0.0000000E+000, 0.0000000E+000, 1.8575082E+002, 1.8587031E+002, 1.0474362E+000, 7.4442368E-003, 1.0233713E-099
 1.4610450E+000, 2.9200504E+002,-1.0472971E+002, 2.7992187E+000,-2.4957402E+000,-1.6146582E-002, 0.0000000E+000, 0.0000000E+000, 1.8697529E+002, 1.8756266E+002, 1.0499353E+000, 7.4605338E-003, 1.3559731E-099
 1.4706305E+000, 2.9088319E+002,-1.0493324E+002, 2.7773380E+000,-2.5028941E+000,-1.6166609E-002, 0.0000000E+000, 0.0000000E+000, 1.8626831E+002, 1.8620823E+002, 1.0521211E+000, 7.4759160E-003, 1.7677197E-099
 1.4802159E+000, 2.9268153E+002,-1.0499960E+002, 2.7912193E+000,-2.5079799E+000,-1.6186001E-002, 0.0000000E+000, 0.0000000E+000, 1.8650449E+002, 1.8794898E+002, 1.0542695E+000, 7.4910353E-003, 2.2949918E-099
