s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 3.1033583E+000, 3.2708064E+002,-1.1708127E+002,-2.3078039E+002,-3.8495847E+000,-1.7937510E-002, 0.0000000E+000, 0.0000000E+000,-2.4376478E+001,-2.4648537E+001, 1.1663780E+000, 8.2795766E-003, 7.2826859E-083
 3.1203713E+000, 3.1830846E+002,-1.1330653E+002,-2.2635165E+002,-3.8288135E+000,-1.7881659E-002, 0.0000000E+000, 0.0000000E+000,-2.4723307E+001,-2.5196414E+001, 1.1665593E+000, 8.2808528E-003, 1.2397964E-082
 3.1411991E+000, 3.1348368E+002,-1.1074858E+002,-2.2393819E+002,-3.8054055E+000,-1.7880045E-002, 0.0000000E+000, 0.0000000E+000,-2.4924933E+001,-2.5026378E+001, 1.1667320E+000, 8.2820634E-003, 2.1000754E-082
 3.1602724E+000, 3.1584695E+002,-1.1233055E+002,-2.2397654E+002,-3.7848193E+000,-1.7853379E-002, 0.0000000E+000, 0.0000000E+000,-2.4376601E+001,-2.4262812E+001, 1.1669086E+000, 8.2832843E-003, 3.6149978E-082
 3.1831601E+000, 3.1314018E+002,-1.1249731E+002,-2.2440789E+002,-3.7783493E+000,-1.7738380E-002, 0.0000000E+000, 0.0000000E+000,-2.6997484E+001,-2.7561107E+001, 1.1670850E+000, 8.2845272E-003, 6.4769784E-082
 3.2022331E+000, 3.1164104E+002,-1.1138302E+002,-2.2101501E+002,-3.7735002E+000,-1.7752736E-002, 0.0000000E+000, 0.0000000E+000,-2.5097948E+001,-2.4548246E+001, 1.1672544E+000, 8.2857207E-003, 1.1525819E-081
 3.2213063E+000, 3.0776854E+002,-1.1008797E+002,-2.1499945E+002,-3.8167082E+000,-1.7742599E-002, 0.0000000E+000, 0.0000000E+000,-2.0783136E+001,-2.1153338E+001, 1.1674023E+000, 8.2867625E-003, 1.9621408E-081
 3.2403793E+000, 3.0392634E+002,-1.0812967E+002,-2.0756835E+002,-3.8034809E+000,-1.7654610E-002, 0.0000000E+000, 0.0000000E+000,-1.5973468E+001,-1.5592814E+001, 1.1675447E+000, 8.2877655E-003, 3.3483741E-081
 3.2632670E+000, 3.0327853E+002,-1.0871095E+002,-1.9889462E+002,-3.8038976E+000,-1.7572520E-002, 0.0000000E+000, 0.0000000E+000,-8.9461267E+000,-8.1485141E+000, 1.1676951E+000, 8.2888250E-003, 6.0707192E-081
 3.2823400E+000, 3.0719164E+002,-1.1026367E+002,-1.9306998E+002,-3.7957168E+000,-1.7611923E-002, 0.0000000E+000, 0.0000000E+000,-1.0222740E+000, 4.4655381E-002, 1.1678395E+000, 8.2898423E-003, 1.0898119E-080
 3.3002682E+000, 3.1450734E+002,-1.1364779E+002,-1.9173080E+002,-3.8141789E+000,-1.7771802E-002, 0.0000000E+000, 0.0000000E+000, 4.3626671E+000, 5.2968082E+000, 1.1679626E+000, 8.2906994E-003, 1.8264458E-080
 3.3208659E+000, 3.2497739E+002,-1.1824415E+002,-1.9370383E+002,-3.7851390E+000,-1.7873906E-002, 0.0000000E+000, 0.0000000E+000, 8.8391976E+000, 9.2263988E+000, 1.1680857E+000, 8.2915598E-003, 3.1516099E-080
 3.3414636E+000, 3.3468265E+002,-1.2221617E+002,-1.9911210E+002,-3.7957505E+000,-1.7999970E-002, 0.0000000E+000, 0.0000000E+000, 9.0971337E+000, 9.5406280E+000, 1.1682117E+000, 8.2924483E-003, 5.7198022E-080
 3.3620613E+000, 3.3935215E+002,-1.2458317E+002,-2.0530512E+002,-3.8158448E+000,-1.8026900E-002, 0.0000000E+000, 0.0000000E+000, 5.8410728E+000, 5.6299829E+000, 1.1683327E+000, 8.2933010E-003, 1.0344278E-079
 3.3826590E+000, 3.3976555E+002,-1.2480397E+002,-2.0684219E+002,-3.8371993E+000,-1.8019830E-002, 0.0000000E+000, 0.0000000E+000, 4.2604098E+000, 4.2641752E+000, 1.1684488E+000, 8.2941194E-003, 1.8580819E-079
 3.4032567E+000, 3.3975730E+002,-1.2386029E+002,-2.0334346E+002,-3.8032409E+000,-1.7985309E-002, 0.0000000E+000, 0.0000000E+000, 8.2799232E+000, 8.7323206E+000, 1.1685602E+000, 8.2949048E-003, 3.3185040E-079
 3.4204216E+000, 3.3671690E+002,-1.2237437E+002,-1.9863499E+002,-3.7509581E+000,-1.8035436E-002, 0.0000000E+000, 0.0000000E+000, 1.1358471E+001, 1.1938542E+001, 1.1686584E+000, 8.2955973E-003, 5.6070629E-079
 3.4410193E+000, 3.3843938E+002,-1.2207198E+002,-1.9322649E+002,-3.6881160E+000,-1.8152984E-002, 0.0000000E+000, 0.0000000E+000, 1.8747004E+001, 1.9434634E+001, 1.1687529E+000, 8.2962635E-003, 9.5272009E-079
 3.4616170E+000, 3.3964676E+002,-1.2311022E+002,-1.8512094E+002,-3.6553687E+000,-1.8189761E-002, 0.0000000E+000, 0.0000000E+000, 2.7296800E+001, 2.7742042E+001, 1.1688521E+000, 8.2969625E-003, 1.6892409E-078
 3.4822147E+000, 3.3789000E+002,-1.2216933E+002,-1.7663221E+002,-3.6509630E+000,-1.8147517E-002, 0.0000000E+000, 0.0000000E+000, 3.4342587E+001, 3.5419348E+001, 1.1689472E+000, 8.2976335E-003, 2.9944586E-078
 3.5028124E+000, 3.4131948E+002,-1.2237263E+002,-1.6958171E+002,-3.6501357E+000,-1.8138017E-002, 0.0000000E+000, 0.0000000E+000, 4.4468369E+001, 4.5696862E+001, 1.1690386E+000, 8.2982773E-003, 5.3108804E-078
 3.5234101E+000, 3.4631870E+002,-1.2440305E+002,-1.6366528E+002,-3.6639136E+000,-1.8161122E-002, 0.0000000E+000, 0.0000000E+000, 5.4009350E+001, 5.4568294E+001, 1.1691262E+000, 8.2988953E-003, 9.4519522E-078
 3.5405748E+000, 3.4752401E+002,-1.2420681E+002,-1.6181558E+002,-3.6450664E+000,-1.8237659E-002, 0.0000000E+000, 0.0000000E+000, 5.7669813E+001, 5.7838318E+001, 1.1692035E+000, 8.2994401E-003, 1.6027776E-077
 3.5615158E+000, 3.4335061E+002,-1.2397691E+002,-1.6269118E+002,-3.6254426E+000,-1.8233620E-002, 0.0000000E+000, 0.0000000E+000, 5.4539875E+001, 5.3038847E+001, 1.1692784E+000, 8.2999697E-003, 2.7755601E-077
 3.5803971E+000, 3.3318212E+002,-1.1929997E+002,-1.6616247E+002,-3.5825910E+000,-1.8220853E-002, 0.0000000E+000, 0.0000000E+000, 4.5201238E+001, 4.4118869E+001, 1.1693533E+000, 8.3005054E-003, 4.9216204E-077
 3.6030545E+000, 3.2953453E+002,-1.1704873E+002,-1.7322553E+002,-3.5344258E+000,-1.8211124E-002, 0.0000000E+000, 0.0000000E+000, 3.6343506E+001, 3.5707639E+001, 1.1694289E+000, 8.3010375E-003, 8.9897722E-077
 3.6215572E+000, 3.3247957E+002,-1.1737543E+002,-1.8065238E+002,-3.5264676E+000,-1.8306167E-002, 0.0000000E+000, 0.0000000E+000, 3.0243445E+001, 3.0906982E+001, 1.1695009E+000, 8.3015434E-003, 1.6128962E-076
 3.6419444E+000, 3.3403946E+002,-1.1965271E+002,-1.8502796E+002,-3.5345987E+000,-1.8279245E-002, 0.0000000E+000, 0.0000000E+000, 2.6688239E+001, 2.5805912E+001, 1.1695666E+000, 8.3019993E-003, 2.8125327E-076
 3.6623316E+000, 3.3416700E+002,-1.1924133E+002,-1.8780949E+002,-3.5409404E+000,-1.8302525E-002, 0.0000000E+000, 0.0000000E+000, 2.3126954E+001, 2.3556944E+001, 1.1696323E+000, 8.3024625E-003, 5.0311230E-076
 3.6827188E+000, 3.3429857E+002,-1.2003717E+002,-1.9095773E+002,-3.5653190E+000,-1.8305576E-002, 0.0000000E+000, 0.0000000E+000, 1.9989258E+001, 1.9720042E+001, 1.1696954E+000, 8.3029073E-003, 8.9879935E-076
 3.7031059E+000, 3.4010541E+002,-1.2245135E+002,-1.9563132E+002,-3.5884295E+000,-1.8291449E-002, 0.0000000E+000, 0.0000000E+000, 1.8247586E+001, 1.8416015E+001, 1.1697560E+000, 8.3033344E-003, 1.5956913E-075
 3.7200952E+000, 3.4392240E+002,-1.2448297E+002,-2.0158248E+002,-3.6051021E+000,-1.8194692E-002, 0.0000000E+000, 0.0000000E+000, 1.4529965E+001, 1.4233654E+001, 1.1698094E+000, 8.3037111E-003, 2.6637388E-075
 3.7404823E+000, 3.4234618E+002,-1.2376621E+002,-2.0699079E+002,-3.6258800E+000,-1.8170992E-002, 0.0000000E+000, 0.0000000E+000, 8.9295110E+000, 7.9451279E+000, 1.1698608E+000, 8.3040735E-003, 4.4454730E-075
 3.7608695E+000, 3.3511313E+002,-1.2023582E+002,-2.1071078E+002,-3.6476550E+000,-1.8189072E-002, 0.0000000E+000, 0.0000000E+000, 1.0164008E+000, 5.0068814E-001, 1.1699148E+000, 8.3044540E-003, 7.7135313E-075
 3.7812567E+000, 3.2802085E+002,-1.1784769E+002,-2.1438473E+002,-3.6825632E+000,-1.8129887E-002, 0.0000000E+000, 0.0000000E+000,-6.5908779E+000,-7.9122524E+000, 1.1699666E+000, 8.3048194E-003, 1.3397157E-074
 3.8033428E+000, 3.1721088E+002,-1.1326721E+002,-2.1741415E+002,-3.7027758E+000,-1.8253224E-002, 0.0000000E+000, 0.0000000E+000,-1.6670311E+001,-1.7191514E+001, 1.1700180E+000, 8.3051867E-003, 2.4029681E-074
 3.8231523E+000, 3.1519055E+002,-1.1126468E+002,-2.1771067E+002,-3.7118391E+000,-1.8260404E-002, 0.0000000E+000, 0.0000000E+000,-1.7802378E+001,-1.7514891E+001, 1.1700667E+000, 8.3055343E-003, 4.2682098E-074
 3.8437092E+000, 3.1872502E+002,-1.1292424E+002,-2.1758988E+002,-3.7912674E+000,-1.8221495E-002, 0.0000000E+000, 0.0000000E+000,-1.5434590E+001,-1.5598593E+001, 1.1701119E+000, 8.3058544E-003, 7.4464407E-074
