s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 1.1112567E+001, 3.9545605E+000,-8.7222340E-001,-3.1284400E+000,-6.0984859E-002,-2.5901390E-004, 0.0000000E+000, 0.0000000E+000,-9.6077903E-002,-1.0734682E-001, 1.1712124E+000, 9.0821544E-005, 9.9154903E-069
 1.1163790E+001, 3.9505791E+000,-8.9070150E-001,-3.1960512E+000,-6.1990040E-002,-2.5955840E-004, 0.0000000E+000, 0.0000000E+000,-1.7928515E-001,-1.9842324E-001, 1.1712124E+000, 9.0821544E-005, 1.3321656E-068
 1.1240623E+001, 3.9478398E+000,-8.9113086E-001,-3.2799401E+000,-6.1859659E-002,-2.5987125E-004, 0.0000000E+000, 0.0000000E+000,-2.7996517E-001,-2.8535068E-001, 1.1712124E+000, 9.0821544E-005, 1.8828305E-068
 1.1291846E+001, 3.9567176E+000,-8.9993499E-001,-3.3402355E+000,-6.2594621E-002,-2.6014029E-004, 0.0000000E+000, 0.0000000E+000,-3.4351291E-001,-3.4630760E-001, 1.1712124E+000, 9.0821544E-005, 2.5396719E-068
 1.1359532E+001, 4.0142830E+000,-9.0936358E-001,-3.3814546E+000,-6.2280595E-002,-2.6035614E-004, 0.0000000E+000, 0.0000000E+000,-3.5706170E-001,-3.3907616E-001, 1.1712124E+000, 9.0821544E-005, 3.1815081E-068
 1.1401607E+001, 4.0219840E+000,-9.1386442E-001,-3.4159529E+000,-6.3002825E-002,-2.6068185E-004, 0.0000000E+000, 0.0000000E+000,-3.6924099E-001,-3.7109681E-001, 1.1712124E+000, 9.0821544E-005, 3.7447714E-068
 1.1464718E+001, 3.9984941E+000,-9.0822859E-001,-3.4565804E+000,-6.2913896E-002,-2.6130638E-004, 0.0000000E+000, 0.0000000E+000,-4.2075242E-001,-4.2949005E-001, 1.1712124E+000, 9.0821544E-005, 4.1702243E-068
 1.1534351E+001, 3.9349893E+000,-9.0306010E-001,-3.5351783E+000,-6.3434108E-002,-2.6179038E-004, 0.0000000E+000, 0.0000000E+000,-5.2889720E-001,-5.6694502E-001, 1.1712124E+000, 9.0821544E-005, 4.4663407E-068
 1.1602674E+001, 3.9688637E+000,-8.9833355E-001,-3.6533785E+000,-6.2798052E-002,-2.6152789E-004, 0.0000000E+000, 0.0000000E+000,-6.5899052E-001,-6.4590798E-001, 1.1712124E+000, 9.0821544E-005, 4.3149675E-068
 1.1648224E+001, 3.9717046E+000,-8.9311341E-001,-3.7635960E+000,-6.2215112E-002,-2.6121342E-004, 0.0000000E+000, 0.0000000E+000,-7.4123389E-001,-7.4748116E-001, 1.1712124E+000, 9.0821544E-005, 3.8506803E-068
