s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"temp-1","temp-2","temp-3","temp-4","temp-5","temp-6","temp-7","temp-8","temp-9","temp-10","temp-11","temp-12","temp-13","temp-14","temp-15","vel-1","vel-2","vel-3","vel-4","vel-5","vel-6","vel-7","vel-8","vel-9","vel-10","vel-11","vel-12","vel-13","vel-14","vel-15"
 5.4461780E+001, 2.0669877E+001, 2.0399939E+001, 2.0399939E+001, 2.0364582E+001, 2.0350646E+001, 2.2285017E+001, 2.2285017E+001, 2.7965096E+001, 2.9804847E+001, 2.9804847E+001, 2.5855006E+001, 2.7426838E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.8004655E-002, 6.5370787E-002, 6.5370787E-002, 7.6297388E-002, 1.0529090E-001, 1.6116906E-001, 1.6116906E-001, 1.5425633E-001, 1.1902063E-001, 1.1902063E-001, 1.2998726E-001, 5.5908105E-002, 5.5908105E-002, 5.5908105E-002, 1.1286610E-002
 5.5959958E+001, 2.0699777E+001, 2.0417707E+001, 2.0417707E+001, 2.0380660E+001, 2.0414967E+001, 2.3206438E+001, 2.3206438E+001, 2.8426255E+001, 2.9288218E+001, 2.9288218E+001, 2.5625375E+001, 2.8828160E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.7182606E-002, 5.5129165E-002, 5.5129165E-002, 6.6792447E-002, 9.7747720E-002, 1.5833775E-001, 1.5833775E-001, 1.4906029E-001, 1.4238956E-001, 1.4238956E-001, 1.1295531E-001, 6.7679105E-002, 6.7679105E-002, 6.7679105E-002, 9.7604267E-003
 5.7957528E+001, 2.0729549E+001, 2.0435855E+001, 2.0435855E+001, 2.0397219E+001, 2.0519046E+001, 2.4114144E+001, 2.4114144E+001, 2.8637084E+001, 2.8734394E+001, 2.8734394E+001, 2.5620484E+001, 3.0536451E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.4367365E-002, 5.2911337E-002, 5.2911337E-002, 6.5128360E-002, 9.8446810E-002, 1.6304637E-001, 1.6304637E-001, 1.5568425E-001, 1.5066196E-001, 1.5066196E-001, 8.7824362E-002, 8.7878390E-002, 8.7878390E-002, 8.7878390E-002, 7.5056242E-003
 5.9455706E+001, 2.0759642E+001, 2.0454642E+001, 2.0454642E+001, 2.0414535E+001, 2.0664921E+001, 2.4974893E+001, 2.4974893E+001, 2.8752623E+001, 2.8337444E+001, 2.8337444E+001, 2.5890733E+001, 3.2367733E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.9869261E-002, 5.9017340E-002, 5.9017340E-002, 7.1689225E-002, 1.0721412E-001, 1.7321667E-001, 1.7321667E-001, 1.6270939E-001, 1.4392551E-001, 1.4392551E-001, 6.4423776E-002, 1.3029124E-001, 1.3029124E-001, 1.3029124E-001, 1.5611787E-002
 6.1453277E+001, 2.0790595E+001, 2.0474426E+001, 2.0474426E+001, 2.0433200E+001, 2.0861712E+001, 2.5689482E+001, 2.5689482E+001, 2.8919809E+001, 2.8217631E+001, 2.8217631E+001, 2.6684586E+001, 3.4181632E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.8719965E-002, 6.8436391E-002, 6.8436391E-002, 8.1470052E-002, 1.1879655E-001, 1.8309913E-001, 1.8309913E-001, 1.6310103E-001, 1.2684092E-001, 1.2684092E-001, 7.2962142E-002, 1.9764671E-001, 1.9764671E-001, 1.9764671E-001, 3.3789400E-002
 6.3450848E+001, 2.0826435E+001, 2.0497909E+001, 2.0497909E+001, 2.0456286E+001, 2.1132281E+001, 2.6327996E+001, 2.6327996E+001, 2.9228077E+001, 2.8394594E+001, 2.8394594E+001, 2.8481198E+001, 3.5362342E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 6.6644734E-002, 7.6879566E-002, 7.6879566E-002, 8.9916599E-002, 1.2899662E-001, 1.8894283E-001, 1.8894283E-001, 1.5648892E-001, 1.0822394E-001, 1.0822394E-001, 1.2232171E-001, 2.9419233E-001, 2.9419233E-001, 2.9419233E-001, 5.8341767E-002
 6.4949026E+001, 2.0857299E+001, 2.0518706E+001, 2.0518706E+001, 2.0477509E+001, 2.1377490E+001, 2.6756914E+001, 2.6756914E+001, 2.9565750E+001, 2.8783980E+001, 2.8783980E+001, 3.0264362E+001, 3.5210916E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 6.8234278E-002, 7.9021686E-002, 7.9021686E-002, 9.2029467E-002, 1.3332668E-001, 1.8940816E-001, 1.8940816E-001, 1.5009845E-001, 1.0332844E-001, 1.0332844E-001, 1.7261096E-001, 3.7522376E-001, 3.7522376E-001, 3.7522376E-001, 7.8350920E-002
 6.6946596E+001, 2.0887414E+001, 2.0539840E+001, 2.0539840E+001, 2.0499535E+001, 2.1595051E+001, 2.7048085E+001, 2.7048085E+001, 2.9897824E+001, 2.9332015E+001, 2.9332015E+001, 3.1693014E+001, 3.4844406E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 6.0396282E-002, 7.1996590E-002, 7.1996590E-002, 8.5320226E-002, 1.3075393E-001, 1.8576209E-001, 1.8576209E-001, 1.4754749E-001, 1.1116186E-001, 1.1116186E-001, 2.1442008E-001, 4.1853525E-001, 4.1853525E-001, 4.1853525E-001, 9.3612409E-002
 6.8444774E+001, 2.0916137E+001, 2.0561004E+001, 2.0561004E+001, 2.0521739E+001, 2.1764897E+001, 2.7194040E+001, 2.7194040E+001, 3.0164074E+001, 2.9912775E+001, 2.9912775E+001, 3.2553409E+001, 3.4929191E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.3556998E-002, 5.6272432E-002, 5.6272432E-002, 7.0335496E-002, 1.2215549E-001, 1.7976172E-001, 1.7976172E-001, 1.4891195E-001, 1.2636713E-001, 1.2636713E-001, 2.4767822E-001, 4.1474195E-001, 4.1474195E-001, 4.1474195E-001, 1.0427300E-001
 7.0442345E+001, 2.0942152E+001, 2.0581418E+001, 2.0581418E+001, 2.0543043E+001, 2.1875157E+001, 2.7178785E+001, 2.7178785E+001, 3.0299716E+001, 3.0478528E+001, 3.0478528E+001, 3.3182737E+001, 3.7552160E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0361121E-002, 3.4238874E-002, 3.4238874E-002, 4.9453806E-002, 1.1047149E-001, 1.7487412E-001, 1.7487412E-001, 1.5609534E-001, 1.4993992E-001, 1.4993992E-001, 2.6693491E-001, 3.5900409E-001, 3.5900409E-001, 3.5900409E-001, 1.0938860E-001
 7.2223594E+001, 2.0967150E+001, 2.0602158E+001, 2.0602158E+001, 2.0564262E+001, 2.1938234E+001, 2.7013867E+001, 2.7013867E+001, 3.0261707E+001, 3.1066071E+001, 3.1066071E+001, 3.4811186E+001, 4.1870134E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.3815188E-002, 1.7648038E-002, 1.7648038E-002, 3.1251259E-002, 1.0245371E-001, 1.7632891E-001, 1.7632891E-001, 1.7198223E-001, 1.8287790E-001, 1.8287790E-001, 2.6794153E-001, 2.9277767E-001, 2.9277767E-001, 2.9277767E-001, 1.1968893E-001
